A393	10	200	393	10	200	393	6.16
A252	8	200	252	8	200	252	3.95
A193	7	200	193	7	200	193	3.02
A142	6	200	142	6	200	142	2.22
A98	5	200	98	5	200	98	1.54
B1131	12	100	1131	8	200	252	10.9
B785	10	100	785	8	200	252	8.14
B503	8	100	503	8	200	252	5.93
B385	7	100	385	7	200	193	4.53
B283	6	100	283	7	200	193	3.73
B196	5	100	196	7	200	193	3.05
C785	10	100	785	6	400	70.8	6.72
C636	9	100	636	6	400	70.8	5.55
C503	8	100	503	5	400	49	4.34
C385	7	100	385	5	400	49	3.41
C283	6	100	283	5	400	49	2.61
D98	5	200	98	5	200	98	1.54
D49	2.5	100	49	2.5	100	49	0.77
